area_id,weight,volume,fat,sugar,saturate,protein,carb,salt,fibre,energy_fat,energy_sugar,energy_saturate,energy_protein,energy_fibre,energy_carb,energy_tot,number_reception_measured,number_y6_measured,prevalence_overweight_reception,prevalence_overweight_y6,prevalence_obese_reception,prevalence_obese_y6
E05000523,69.1096498079233,27.135854058442565,2.1581665745909144,2.509774240192693,0.8247371879835047,1.1984219874689281,4.451988808577399,0.13437417182987424,0.3797356741305423,19.423499171318383,10.03909696077077,7.422634691849915,4.7936879498757134,0.7017745473039879,17.8079552343096,43.10941473432506,365,323,0.235616438,0.334365325,0.095890411,0.188854489
E05000524,67.93741033346278,19.75978580829759,2.014072605695361,2.231384605765731,0.7850717290971537,1.213302132005138,3.8207971404671786,0.11979178927274234,0.39067960263484774,18.126653451260864,8.925538423062925,7.065645561869766,4.853208528020552,0.7335631630582135,15.283188561868714,39.54324611623296,283,230,0.141342756,0.260869565,0.035335689,0.126086957
E05000525,74.32058744712393,22.524044278200563,2.1424961064591033,2.2170285034541797,0.8671842219389418,1.2355457735135313,3.825628890211597,0.12498143749789777,0.38132019758339875,19.282464958122457,8.868114013816719,7.804657997469512,4.9421830940541245,0.721975356271638,15.302515560846384,40.66005859236374,398,203,0.14321608,0.236453202,0.052763819,0.113300493
E05000526,71.64310992517349,22.16034259206944,2.081472208032014,2.2949616670756003,0.8409655796770653,1.1647537523714397,3.9144924020184275,0.12041382158425529,0.3781489525622729,18.733249872292433,9.179846668302403,7.568690217094176,4.659015009485759,0.7142243069967157,15.65796960807371,40.317511892803836,362,224,0.129834254,0.209821429,0.046961326,0.111607143
E05000527,64.88558048784239,18.68215438746617,1.9956930211438886,2.174537679451513,0.7361295575282628,1.1869382127783774,3.919068511751292,0.12436435949787622,0.40675075855286047,17.961237190295897,8.698150717806053,6.6251660177508835,4.74775285111351,0.7569550954201819,15.676274047005167,39.6329088728838,422,258,0.132701422,0.220930233,0.04028436,0.089147287
E05000528,70.30209911897165,19.534819142144627,2.0747700212053353,2.1300045842567634,0.8087137183430173,1.2489604336579574,3.703261979683187,0.1365442160102402,0.38387031956028755,18.672930190850284,8.520018337027054,7.278423465083566,4.99584173463183,0.7248554637035199,14.813047918732748,39.718830138150956,254,152,0.169291339,0.203947368,0.047244094,0.098684211
E05000529,68.18513163031274,19.38226208019027,2.172256998588991,2.325481914796602,0.8314503809946083,1.2417634607629067,4.158528200903022,0.13322741438048774,0.4079602802383198,19.55031298730194,9.301927659186408,7.483053428949089,4.967053843051627,0.7646747501153747,16.634112803612087,42.411531564298826,310,207,0.180645161,0.193236715,0.058064516,0.086956522
E05000530,66.03944475618856,19.751440962886065,2.0493081152872996,2.3173023091048504,0.786132082924453,1.239053855228118,4.000422159959301,0.14112661431306314,0.40174318373412465,18.44377303758614,9.269209236419398,7.075188746317138,4.956215420912474,0.7368990597490123,16.001688639837205,40.48892384097023,323,253,0.182662539,0.173913043,0.074303406,0.059288538
E05000531,66.56014565417522,18.455245144618125,2.036554582583132,2.122680427490867,0.7686956317912708,1.2432624184156396,3.8256278517556366,0.12780191743265149,0.4009257802833897,18.328991243250375,8.490721709963468,6.918260686118048,4.973049673662558,0.7518923469473332,15.302511407022546,39.766826301287516,280,185,0.125,0.189189189,0.032142857,0.075675676
E05000532,65.44954936726717,20.379337598280895,2.155430569147353,2.570816074252697,0.8195278016538332,1.2129225668000638,4.402278565975782,0.12347593073429301,0.395779918007832,19.398875122326302,10.283264297010792,7.37575021488238,4.8516902672002535,0.731874259523481,17.609114263903127,42.95208939381959,455,361,0.145054945,0.263157895,0.052747253,0.108033241
E05000533,67.50403955647135,21.839553872214005,2.1946298198575738,2.5839800137293167,0.8658978439430476,1.1840769124146378,4.390090048063045,0.12902923478525374,0.3882216388001883,19.75166837871829,10.335920054917274,7.793080595484573,4.736307649658551,0.7246205920819722,17.56036019225218,43.14903144470934,334,275,0.200598802,0.323636364,0.092814371,0.145454545
E05000555,76.45830648493661,23.74435592920297,2.150388457080473,2.7077145579472313,0.8273459029517221,1.1967728281697654,4.726879106275739,0.13150264579148455,0.392527678806167,19.35349611372336,10.830858231788925,7.4461131265654235,4.787091312679063,0.7298815687940798,18.907516425102962,44.113685399709304,363,343,0.181818182,0.349854227,0.063360882,0.204081633
E05000556,67.35615516409621,23.4444329971691,2.15055566066473,2.7753382555622403,0.8819434574147761,1.09382677701574,4.060340948125285,0.11609858622890451,0.3545885703768241,19.3550009459813,11.101353022248961,7.9374911167312705,4.37530710806296,0.658682388576797,16.24136379250114,40.909450912103914,338,353,0.204142012,0.376770538,0.085798817,0.218130312
